time,frequency,selection
64,0.00000000,0.00057769
65,0.00000000,0.00052258
66,0.00000000,0.00050564
67,0.00000000,0.00051783
68,0.00000000,0.00048828
69,0.00000000,0.00044271
70,0.00000000,0.00037147
71,0.00000000,0.00044532
72,0.00000000,0.00040078
73,0.00000000,0.00039361
74,0.00000000,0.00009716
75,0.00000000,0.00008088
76,0.00000000,0.00005936
77,0.00000000,0.00025737
78,0.00000000,0.00050657
79,0.00000000,0.00051227
80,0.00000000,0.00073024
81,0.00000000,0.00066702
82,0.00000000,0.00072657
83,0.00000000,0.00093810
84,0.00000000,0.00080231
85,0.00000000,0.00072120
86,0.00000000,0.00065286
87,0.00000000,0.00069065
88,0.00070922,0.00071431
89,0.00070922,0.00078004
90,0.00134013,0.00070117
91,0.00134013,0.00074148
92,0.00134013,0.00077367
93,0.00063091,0.00068492
94,0.00063091,0.00087012
95,0.00000000,0.00098353
96,0.00000000,0.00118268
97,0.00000000,0.00105892
98,0.00000000,0.00113087
99,0.00000000,0.00124273
100,0.00000000,0.00123857
101,0.00000000,0.00123761
102,0.00000000,0.00123077
103,0.00000000,0.00112369
104,0.00000000,0.00093372
105,0.00000000,0.00107703
106,0.00000000,0.00111419
107,0.00000000,0.00126871
108,0.00000000,0.00122951
109,0.00000000,0.00137842
110,0.00071429,0.00169043
111,0.00071429,0.00164197
112,0.00071429,0.00175428
113,0.00071429,0.00224178
114,0.00071429,0.00242132
115,0.00000000,0.00228673
116,0.00000000,0.00230579
117,0.00000000,0.00218652
118,0.00000000,0.00212454
119,0.00000000,0.00185447
120,0.00000000,0.00154508
121,0.00000000,0.00155405
122,0.00000000,0.00142436
123,0.00000000,0.00085029
124,0.00000000,0.00140837
125,0.00000000,0.00161251
126,0.00085470,0.00216324
127,0.00085470,0.00223592
128,0.00085470,0.00232936
129,0.00085470,0.00230402
130,0.00085470,0.00247192
131,0.00000000,0.00248535
132,0.00000000,0.00264559
133,0.00000000,0.00299557
134,0.00000000,0.00233419
135,0.00000000,0.00220823
136,0.00000000,0.00154930
137,0.00000000,0.00211127
138,0.00000000,0.00222308
139,0.00000000,0.00238274
140,0.00200000,0.00272473
141,0.00419780,0.00328472
142,0.00419780,0.00328936
143,0.00419780,0.00300845
144,0.00419780,0.00323434
145,0.00219780,0.00345671
146,0.00000000,0.00371914
147,0.00000000,0.00359432
148,0.00377358,0.00387782
149,0.00377358,0.00425054
150,0.00377358,0.00364293
151,0.00377358,0.00322247
152,0.00883688,0.00644443
153,0.01081869,0.01230995
154,0.03263687,0.02513986
155,0.03263687,0.02519462
156,0.03263687,0.02480874
157,0.02757358,0.02535275
158,0.02181818,0.02122947
159,0.00175439,0.01757724
160,0.00175439,0.01491783
161,0.00175439,0.01314616
162,0.00236788,0.01075227
163,0.00236788,0.00777682
164,0.00061350,0.00336165
165,0.00061350,0.00339703
166,0.00061350,0.00332124
167,0.00000000,0.00339258
168,0.00145455,0.00404883
169,0.00145455,0.00407564
170,0.00145455,0.00416522
171,0.00310744,0.00446629
172,0.00310744,0.00452718
173,0.00165289,0.00448626
174,0.00165289,0.00455561
175,0.00165289,0.00491341
176,0.00000000,0.00522213
177,0.00000000,0.00542278
178,0.00000000,0.00457327
179,0.00000000,0.00459442
180,0.00000000,0.00451342
181,0.00000000,0.00403992
182,0.00000000,0.00392524
183,0.00000000,0.00382043
184,0.00000000,0.00389767
185,0.00000000,0.00344291
186,0.00000000,0.00334063
187,0.00000000,0.00330933
188,0.00000000,0.00333456
189,0.00000000,0.00333751
190,0.00000000,0.00344788
191,0.00000000,0.00332951
192,0.00000000,0.00314173
193,0.00000000,0.00331777
194,0.00476190,0.00333968
195,0.00476190,0.00300287
196,0.00476190,0.00282179
197,0.00812325,0.00347767
198,0.00812325,0.00326548
199,0.00610107,0.00533606
200,0.00610107,0.00536274
201,0.00899962,0.00541924
202,0.01380154,0.00751830
203,0.01380154,0.00770919
204,0.01396037,0.00930584
205,0.01631331,0.01101352
206,0.03080606,0.02058268
207,0.02264280,0.02285641
208,0.02264280,0.02388812
209,0.01974425,0.02259359
210,0.02183575,0.02490711
211,0.01122411,0.02779451
212,0.01728471,0.02943353
213,0.03183017,0.03941935
214,0.04653605,0.04805774
215,0.05652459,0.05887303
216,0.06137284,0.05657347
217,0.06226876,0.05911628
218,0.05794228,0.06263331
219,0.05313739,0.06552252
220,0.03870440,0.06380935
221,0.03128702,0.06181588
222,0.04502015,0.07276405
223,0.06218212,0.08494254
224,0.08103930,0.09496105
225,0.09983125,0.09693162
226,0.12129640,0.10328101
227,0.13033647,0.10974164
228,0.12603244,0.11538775
229,0.14489332,0.13893507
230,0.16773034,0.15045042
231,0.17677688,0.15711116
232,0.18664447,0.17009274
233,0.21662877,0.17845117
234,0.24012083,0.18011893
235,0.24432521,0.18553902
236,0.26010803,0.19223870
237,0.26666457,0.19197392
238,0.26246698,0.19344265
239,0.24656713,0.19555687
240,0.24906094,0.19361222
241,0.27457928,0.19840198
242,0.27677708,0.19810472
243,0.26903494,0.18913783
244,0.27780472,0.19184037
245,0.29678527,0.19175465
246,0.27576188,0.19056897
247,0.30188722,0.19155400
248,0.34917152,0.19289645
249,0.38084265,0.19130232
250,0.39175906,0.19875570
251,0.40442823,0.19550965
252,0.41463091,0.20553060
253,0.40217702,0.21199187
254,0.37838925,0.21028619
255,0.40582553,0.20837999
256,0.43936117,0.20970081
257,0.46760017,0.21217334
258,0.49307006,0.21169614
259,0.51465738,0.21313396
260,0.52206518,0.21540883
261,0.51166712,0.21545191
262,0.48867094,0.21459859
263,0.48905792,0.22109808
264,0.48402015,0.21819982
265,0.48590923,0.21770267
266,0.49670431,0.21520771
267,0.51415538,0.21480834
268,0.52018973,0.21305655
269,0.54794345,0.21254431
270,0.52649268,0.20895188
271,0.53662794,0.20822119
272,0.54018772,0.20798130
273,0.54432615,0.20743551
274,0.53462859,0.20886472
275,0.54797141,0.20669823
276,0.55200355,0.20714158
277,0.56475443,0.20763455
278,0.57876624,0.21203303
279,0.60121863,0.21426407
280,0.60935059,0.21456854
281,0.62853576,0.21484215
282,0.64105570,0.21539578
283,0.65056721,0.21510539
284,0.63304368,0.21655466
285,0.65479533,0.21807057
286,0.65293051,0.21797490
287,0.64916538,0.21657791
288,0.63508907,0.21397622
289,0.66308404,0.21274023
290,0.67403852,0.21512552
291,0.66842146,0.21329680
292,0.67174714,0.21161763
293,0.68698524,0.21026054
294,0.67903818,0.21112721
295,0.66405107,0.20976978
296,0.67397822,0.20870794
297,0.67865796,0.20908689
298,0.68640024,0.20981462
299,0.69836724,0.20911672
300,0.71882309,0.20806844
301,0.74187968,0.20801873
302,0.74660048,0.20877475
303,0.74106929,0.20834512
304,0.74347820,0.20789378
305,0.74175585,0.21118211
306,0.71892386,0.20788686
307,0.72518332,0.20655520
308,0.73451345,0.20549199
309,0.73266972,0.20557913
310,0.73730149,0.20546316
311,0.75945058,0.20458247
312,0.75479796,0.20359253
313,0.76731579,0.20452861
314,0.78386305,0.20412510
315,0.77645780,0.20216622
316,0.77064013,0.20436193
317,0.77349987,0.20459242
318,0.76232153,0.20445404
319,0.75240913,0.20378691
320,0.75557362,0.20257268
321,0.75490036,0.20232451
322,0.75404200,0.20216454
323,0.75881561,0.20100337
324,0.76725288,0.20010179
325,0.78455328,0.20100674
326,0.79149811,0.20076198
327,0.80771066,0.19945708
328,0.81588967,0.19985842
329,0.81117252,0.19890048
330,0.79633302,0.19827150
331,0.79089190,0.19716597
332,0.77841732,0.19621458
333,0.77572124,0.19519555
334,0.78319950,0.19544681
335,0.79327022,0.19375937
336,0.80505123,0.19295648
337,0.81843844,0.19349254
338,0.81419007,0.19295634
339,0.82042889,0.19345090
340,0.82641466,0.19433719
341,0.82782421,0.19509175
342,0.82506118,0.19463967
343,0.83775380,0.19460953
344,0.83045876,0.19478289
345,0.81968645,0.19376458
346,0.82016985,0.19371609
347,0.82267621,0.19368499
348,0.82346758,0.19337646
349,0.82651241,0.19298992
350,0.83304421,0.19262118
351,0.82153233,0.19268205
352,0.80095211,0.19212747
353,0.78801012,0.19194825
354,0.76969361,0.19075942
355,0.74211233,0.18989341
356,0.71051340,0.18875500
357,0.66596714,0.18764718
358,0.63954699,0.18695932
359,0.61492590,0.18620654
360,0.60338224,0.18491790
361,0.60674984,0.18304041
362,0.61669666,0.18298655
364,0.52374949,0.18162020
365,0.45451084,0.18106259
367,0.29582044,0.18029971
368,0.26599431,0.18029971
369,0.24047129,0.18029971
370,0.22310367,0.18198321
371,0.24117066,0.18215952
372,0.21638020,0.18216954
373,0.19655284,0.18148622
374,0.18447476,0.18049278
375,0.18547004,0.18035292
376,0.16890746,0.18022224
377,0.18191959,0.17988485
378,0.18680079,0.17988988
379,0.18557033,0.17991367
380,0.17632828,0.17980974
381,0.17070971,0.17968325
382,0.16112379,0.17963541
383,0.14765880,0.17953642
384,0.13747879,0.17959640
385,0.13534967,0.17971268
386,0.12976411,0.17980491
387,0.12305596,0.17984838
388,0.11777152,0.17984810
389,0.11206455,0.17967489
390,0.10089577,0.17967596
391,0.09231252,0.17960440
392,0.08480062,0.17954046
393,0.07453854,0.17947198
394,0.06670143,0.17936633
395,0.06143039,0.17921309
396,0.05990924,0.17915277
397,0.06018749,0.17908260
398,0.06715924,0.17909409
399,0.07125060,0.17901216
400,0.06566307,0.17877293
401,0.06023229,0.17874032
402,0.05678920,0.17874674
403,0.04896652,0.17861382
404,0.04325577,0.17860590
405,0.04333890,0.17858662
406,0.04414595,0.17836157
407,0.04076992,0.17811690
408,0.03655540,0.17797668
409,0.03455061,0.17802236
410,0.03442417,0.17807746
411,0.03200413,0.17824722
412,0.03191960,0.17834457
413,0.03314008,0.17838531
414,0.03204905,0.17831965
415,0.02894807,0.17818367
416,0.02741677,0.17814181
417,0.02564853,0.17813181
418,0.02287084,0.17795355
419,0.02117050,0.17772314
420,0.01986625,0.17750389
421,0.01827448,0.17731089
422,0.01651452,0.17702463
423,0.01502660,0.17680232
424,0.01510086,0.17660144
425,0.01454422,0.17641738
426,0.01344631,0.17620704
427,0.01226722,0.17584694
428,0.01249910,0.17561391
429,0.01101723,0.17546942
430,0.00972830,0.17519369
431,0.01093183,0.17463855
432,0.01128992,0.17440203
433,0.01022801,0.17426960
434,0.00969994,0.17421272
435,0.01009666,0.17415510
436,0.00910093,0.17402802
437,0.00806738,0.17403192
438,0.00778874,0.17401742
439,0.00719169,0.17390639
440,0.00652851,0.17396741
441,0.00526841,0.17392325
442,0.00559956,0.17379360
443,0.00534835,0.17367670
444,0.00508752,0.17345900
445,0.00433450,0.17337929
446,0.00436984,0.17331385
447,0.00388370,0.17316821
448,0.00374438,0.17306549
449,0.00369039,0.17301086
450,0.00368881,0.17292949
451,0.00381361,0.17293017
452,0.00320914,0.17287264
453,0.00258733,0.17280823
454,0.00231976,0.17272459
455,0.00218803,0.17253446
456,0.00166973,0.17239071
457,0.00146279,0.17216578
458,0.00224216,0.17177623
459,0.00251105,0.17138714
460,0.00287227,0.17101966
461,0.00423023,0.17033741
462,0.00545685,0.16961866
463,0.00591651,0.16906373
464,0.00657890,0.16861158
465,0.00599496,0.16810438
466,0.00493503,0.16753980
467,0.00455698,0.16703599
468,0.00346260,0.16662129
469,0.00350521,0.16593822
470,0.00614175,0.16485836
471,0.00737370,0.16394404
472,0.00938489,0.16317130
473,0.01131649,0.16251049
474,0.01242020,0.16145646
475,0.01403899,0.16048338
476,0.01443945,0.15966683
477,0.01494352,0.15885850
478,0.01658397,0.15787525
479,0.01797618,0.15680993
480,0.01909901,0.15597813
481,0.02074281,0.15568070
482,0.02157986,0.15519233
483,0.02250217,0.15460334
484,0.02321306,0.15402673
485,0.02354337,0.15354667
490,0.03188363,0.15310927
491,0.03439485,0.15314765
492,0.03393174,0.15318106
493,0.03107986,0.15318191
494,0.03155377,0.15316864
495,0.03143978,0.15317593
496,0.03519761,0.15283124
497,0.03896032,0.15241990
498,0.04778218,0.15229316
499,0.05190632,0.15171910
500,0.05623180,0.15137871
501,0.05242533,0.15100860
502,0.05613392,0.15052856
503,0.05532606,0.15017475
504,0.05573647,0.14990245
505,0.05601122,0.14952546
506,0.06685104,0.14913479
507,0.07159503,0.14896104
508,0.07668090,0.14860815
509,0.08162076,0.14830253
510,0.08799194,0.14801197
511,0.08631635,0.14789408
512,0.08717027,0.14789362
513,0.08863827,0.14794393
514,0.09103757,0.14773869
515,0.09179403,0.14764096
516,0.09223604,0.14759831
517,0.08870831,0.14751587
518,0.08778747,0.14739525
519,0.08548762,0.14732896
520,0.08329022,0.14732230
521,0.08128307,0.14726523
522,0.08237171,0.14714736
523,0.08156727,0.14702961
524,0.08144261,0.14696247
525,0.08078699,0.14694853
526,0.08631885,0.14690917
527,0.09083888,0.14672123
528,0.09666744,0.14656834
529,0.10257144,0.14639986
530,0.10219965,0.14618062
531,0.09428208,0.14600828
532,0.08430388,0.14582057
533,0.07380704,0.14559011
534,0.06350287,0.14556573
535,0.06073814,0.14546821
536,0.05377129,0.14546789
537,0.04984765,0.14554825
538,0.05153229,0.14561766
539,0.05536360,0.14561909
540,0.05914818,0.14565213
541,0.06382704,0.14566431
542,0.06863887,0.14569406
543,0.06392766,0.14568576
544,0.05904251,0.14567263
545,0.05521945,0.14567726
546,0.05761341,0.14564575
547,0.05777873,0.14560779
548,0.05941982,0.14553962
549,0.05886975,0.14552021
550,0.05357869,0.14550366
551,0.04983756,0.14548778
552,0.04565224,0.14549068
553,0.04160124,0.14550670
554,0.04118797,0.14547753
555,0.04384025,0.14543812
556,0.04234829,0.14541966
557,0.04169996,0.14544834
558,0.03932829,0.14545603
559,0.03906319,0.14541124
560,0.03778848,0.14541586
561,0.04179605,0.14539682
562,0.04084306,0.14537017
563,0.04375986,0.14532365
564,0.04075409,0.14533875
565,0.03868566,0.14534534
566,0.03074461,0.14542085
567,0.03408928,0.14538920
568,0.03465605,0.14541221
569,0.03660971,0.14547148
